week,sales_volume
0,103.97
1,98.89
2,105.18
3,112.18
4,98.13
5,98.13
6,112.63
7,106.14
8,96.24
9,104.34
10,96.29
11,96.27
12,101.94
13,84.69
14,86.2
15,95.5
16,91.9
17,102.51
18,92.74
19,88.7
20,111.73
21,98.19
22,100.54
23,88.6
24,95.64
25,100.89
26,90.79
27,103.01
28,95.19
29,97.67
30,95.19
31,114.82
32,99.89
33,91.54
34,106.58
35,150.23
36,101.67
37,84.32
38,89.37
39,101.57
40,105.91
41,101.37
42,99.07
43,97.59
44,88.17
45,94.24
46,96.31
47,108.46
48,102.75
49,85.9
50,102.59
51,96.92
52,94.58
53,104.89
54,108.25
55,107.45
56,93.29
57,97.53
58,102.65
59,107.8
60,96.17
61,98.51
62,91.15
63,90.43
64,106.5
65,110.85
66,99.42
67,108.03
68,102.89
69,94.84
70,102.89
71,112.3
72,99.71
73,112.52
74,79.04
75,106.58
76,100.7
77,97.61
78,100.73
79,84.1
80,98.24
81,102.86
82,111.82
83,95.85
84,93.53
85,95.99
86,107.32
87,102.63
88,95.76
89,104.11
90,100.78
91,107.75
92,94.38
93,97.38
94,96.86
95,88.29
96,102.37
97,102.09
98,100.04
99,98.12
100,88.68
101,96.63
102,97.26
103,93.58
104,98.71
105,103.23
106,115.09
107,101.4
108,102.06
109,99.4
110,84.65
111,99.79
112,100.48
113,119.71
114,98.46
115,102.41
116,99.72
117,90.65
118,109.14
119,106.02
120,106.33
121,92.72
122,111.22
123,88.79
124,104.69
125,117.52
126,92.08
127,95.47
128,100.8
129,95.97
130,87.59
131,100.55
132,91.5
133,103.79
134,92.64
135,112.4
136,93.73
137,97.42
138,106.51
139,90.15
140,101.82
141,110.46
142,87.14
143,101.48
144,102.08
145,106.25
146,90.1
147,89.44
148,104.18
149,102.38
150,136.57
151,147.42
152,125.75
153,147.58
154,135.75
155,133.15
156,160.25
157,144.39
158,134.55
159,148.35
160,138.63
161,151.61
162,147.0
163,136.6
164,140.07
165,143.01
166,150.67
167,155.84
168,140.27
169,132.9
170,138.53
171,133.07
172,137.06
173,147.16
174,135.19
175,149.12
176,134.89
177,158.02
178,136.58
179,162.44
180,147.07
181,123.49
182,128.18
183,149.08
184,142.55
185,147.13
186,137.04
187,142.34
188,136.79
189,128.12
190,142.54
191,143.43
192,139.16
193,177.61
194,145.98
195,144.65
196,124.52
197,132.44
198,136.1
199,134.82
200,141.36
201,140.46
202,143.63
203,143.18
204,119.31
205,126.46
206,138.77
207,147.52
208,143.29
209,166.69
210,104.57
211,109.08
212,107.63
213,105.21
214,97.48
215,106.07
216,93.82
217,98.11
218,96.12
219,100.65
220,118.52
221,85.06
222,105.49
223,87.1
224,96.22
225,108.71
226,100.51
227,91.38
228,94.28
229,105.44
230,94.16
231,101.73
232,100.36
233,94.79
234,117.15
235,105.07
236,83.8
237,101.49
238,94.71
239,106.82
240,93.66
241,99.08
242,104.04
243,106.93
244,90.4
245,97.32
246,96.2
247,94.77
248,114.12
249,103.24
250,89.91
251,107.34
252,116.98
253,108.26
254,87.85
255,96.13
256,110.14
257,94.34
258,103.55
259,106.2
260,92.58
261,99.52
262,74.07
263,91.8
264,97.98
265,90.02
266,113.06
267,88.56
268,96.48
269,101.05
270,111.53
271,88.51
272,109.31
273,100.08
274,92.15
275,103.7
276,101.59
277,95.2
278,100.56
279,96.92
280,100.91
281,105.3
282,112.69
283,90.1
284,117.06
285,84.38
286,98.79
287,104.71
288,102.25
289,95.02
290,98.34
291,96.06
292,95.29
293,106.8
294,102.86
295,94.46
296,107.2
297,102.46
298,106.5
299,105.04
300,93.37
301,95.52
302,105.98
303,104.88
304,99.83
305,100.94
306,110.22
307,95.27
308,104.38
309,98.38
310,98.26
311,108.79
312,106.6
313,106.51
314,110.44
315,100.17
316,105.46
317,97.52
318,102.59
319,98.96
320,182.32
321,171.44
322,169.29
323,194.84
324,154.1
325,160.66
326,176.68
327,173.34
328,177.77
329,171.91
330,167.42
331,161.98
332,168.74
333,158.71
334,181.78
335,174.07
336,165.11
337,165.55
338,169.78
339,161.97
340,175.21
341,176.64
342,167.76
343,166.77
344,164.42
345,174.78
346,161.13
347,164.16
348,160.0
349,168.82
350,163.74
351,175.52
352,181.28
353,163.97
354,165.64
355,161.94
356,173.33
357,162.39
358,155.18
359,159.03
360,180.18
361,183.98
362,175.75
363,167.55
364,167.32
365,169.1
366,172.99
367,171.63
368,175.45
369,165.92
370,172.22
371,177.56
372,184.12
373,181.96
374,192.27
375,171.52
376,173.73
377,173.87
378,185.67
379,159.37
380,93.28
381,95.2
382,83.01
383,95.79
384,93.93
385,101.2
386,102.73
387,115.01
388,107.6
389,95.38
390,92.81
391,103.94
392,89.44
393,114.65
394,109.44
395,96.25
396,86.29
397,110.83
398,99.08
399,109.9
400,87.24
401,95.2
402,100.04
403,100.38
404,96.4
405,104.98
406,91.46
407,98.86
408,100.96
409,104.12
410,105.69
411,91.0
412,87.73
413,110.22
414,102.66
415,94.01
416,112.41
417,100.93
418,109.43
419,100.54
420,116.49
421,114.04
422,98.01
423,107.77
424,105.16
425,110.95
426,92.28
427,105.49
428,108.47
429,85.93
430,90.53
431,83.69
432,97.84
433,105.74
434,112.02
435,100.59
436,113.03
437,88.96
438,86.37
439,99.56
440,103.07
441,99.74
442,83.46
443,99.29
444,149.56
445,105.36
446,102.93
447,92.48
448,95.89
449,91.53
450,99.5
451,107.64
452,92.11
453,104.03
454,95.76
455,93.66
456,99.14
457,91.72
458,95.57
459,90.42
460,115.72
461,100.28
462,94.4
463,101.71
464,99.1
465,98.23
466,104.91
467,106.06
468,95.76
469,95.39
470,97.8
471,81.58
472,87.88
473,110.93
474,113.16
475,98.01
476,104.61
477,102.49
478,124.63
479,108.96
480,98.98
481,92.36
482,87.15
483,101.63
484,93.95
485,88.62
486,94.83
487,91.35
488,113.5
489,107.05
490,99.94
491,111.84
492,100.62
493,93.11
494,112.18
495,104.31
496,91.7
497,98.48
498,93.0
499,88.94
