week,sales_volume
0,91.31
1,107.98
2,102.26
3,87.95
4,95.37
5,113.21
6,80.59
7,96.57
8,110.13
9,93.07
10,94.57
11,99.24
12,111.93
13,94.89
14,96.45
15,96.53
16,117.65
17,117.49
18,108.03
19,103.09
20,160.9
21,111.93
22,92.51
23,109.41
24,89.97
25,94.9
26,107.26
27,88.57
28,98.88
29,93.11
30,97.96
31,77.61
32,85.83
33,94.4
34,107.42
35,98.61
36,100.02
37,105.51
38,92.96
39,102.27
40,93.56
41,86.18
42,96.87
43,104.59
44,102.71
45,99.91
46,119.14
47,103.3
48,107.83
49,117.91
50,89.65
51,91.69
52,113.95
53,93.62
54,100.24
55,108.55
56,107.13
57,114.04
58,111.97
59,108.56
60,93.82
61,106.36
62,102.51
63,89.39
64,111.34
65,106.46
66,100.36
67,98.14
68,90.41
69,101.6
70,103.75
71,93.35
72,109.3
73,91.22
74,83.02
75,108.32
76,96.77
77,98.99
78,93.3
79,87.15
80,110.04
81,94.49
82,113.29
83,106.46
84,97.48
85,91.31
86,94.14
87,90.3
88,116.7
89,101.32
90,109.2
91,89.86
92,101.45
93,109.42
94,97.32
95,108.25
96,91.32
97,89.09
98,103.04
99,96.97
100,105.14
101,84.18
102,105.7
103,120.79
104,154.8
105,155.27
106,101.44
107,85.1
108,103.41
109,87.16
110,96.58
111,109.94
112,94.12
113,104.01
114,163.1
115,157.23
116,89.03
117,97.34
118,115.68
119,83.8
120,97.79
121,95.58
122,100.97
123,105.99
124,112.87
125,97.84
126,106.5
127,104.0
128,103.79
129,95.49
130,92.02
131,91.2
132,93.95
133,102.57
134,106.09
135,102.59
136,95.61
137,114.45
138,112.15
139,97.17
140,93.41
141,101.04
142,110.14
143,102.66
144,104.45
145,98.3
146,103.65
147,112.36
148,98.08
149,101.15
150,132.09
151,139.05
152,131.7
153,121.52
154,138.03
155,142.03
156,148.65
157,137.47
158,150.47
159,134.84
160,145.78
161,137.58
162,144.76
163,199.23
164,192.37
165,133.63
166,156.12
167,128.36
168,139.92
169,149.01
170,142.38
171,139.54
172,136.86
173,143.5
174,156.09
175,153.93
176,137.63
177,144.88
178,144.7
179,135.76
180,146.95
181,146.72
182,144.15
183,132.99
184,126.25
185,122.26
186,140.77
187,136.55
188,133.61
189,142.41
190,142.21
191,145.76
192,149.18
193,144.9
194,140.52
195,114.29
196,134.58
197,136.1
198,146.1
199,135.6
200,147.35
201,136.64
202,153.78
203,132.54
204,136.41
205,137.51
206,135.3
207,125.5
208,141.58
209,135.96
210,104.64
211,104.64
212,97.8
213,88.67
214,94.65
215,112.9
216,107.17
217,102.96
218,93.91
219,100.03
220,89.95
221,95.58
222,98.04
223,97.11
224,107.65
225,88.65
226,93.08
227,89.0
228,90.1
229,100.99
230,87.2
231,106.03
232,98.03
233,100.55
234,102.58
235,96.53
236,108.26
237,98.45
238,104.75
239,98.41
240,102.33
241,102.24
242,102.0
243,92.21
244,103.49
245,97.45
246,105.04
247,82.78
248,88.28
249,102.91
250,114.9
251,106.68
252,94.54
253,86.46
254,105.94
255,99.36
256,104.73
257,100.92
258,100.24
259,123.67
260,99.95
261,98.73
262,99.03
263,95.33
264,107.92
265,97.17
266,105.09
267,102.28
268,109.75
269,103.36
270,90.29
271,89.39
272,111.27
273,95.13
274,89.44
275,94.64
276,110.12
277,88.64
278,93.07
279,94.67
280,89.99
281,90.53
282,87.86
283,96.31
284,97.16
285,149.54
286,86.77
287,110.03
288,89.37
289,102.22
290,91.4
291,105.35
292,107.65
293,92.98
294,84.61
295,105.57
296,115.01
297,103.33
298,101.28
299,106.56
300,106.12
301,93.37
302,94.73
303,104.89
304,98.85
305,110.53
306,94.37
307,106.0
308,102.74
309,98.99
310,109.41
311,105.44
312,91.96
313,105.12
314,111.0
315,98.96
316,98.01
317,94.64
318,99.89
319,105.49
320,164.19
321,160.13
322,175.21
323,161.42
324,160.69
325,153.86
326,161.75
327,169.99
328,169.87
329,175.1
330,175.46
331,182.47
332,154.71
333,164.42
334,172.31
335,167.22
336,169.16
337,183.0
338,175.22
339,158.95
340,161.93
341,158.03
342,183.25
343,161.92
344,154.44
345,180.67
346,175.22
347,172.13
348,157.5
349,187.89
350,167.33
351,160.11
352,155.32
353,159.27
354,154.56
355,163.54
356,154.95
357,182.99
358,139.29
359,165.99
360,161.67
361,173.8
362,165.19
363,182.55
364,156.03
365,175.62
366,189.68
367,161.23
368,174.94
369,185.29
370,153.19
371,166.64
372,178.5
373,168.26
374,160.65
375,235.79
376,216.9
377,236.42
378,177.18
379,158.46
380,106.32
381,91.94
382,89.55
383,92.94
384,97.23
385,100.88
386,93.82
387,105.96
388,102.01
389,94.44
390,107.11
391,109.29
392,99.21
393,98.28
394,85.81
395,96.74
396,97.67
397,101.96
398,98.65
399,101.95
400,112.27
401,95.76
402,96.07
403,89.53
404,99.93
405,107.81
406,85.99
407,94.67
408,100.29
409,106.8
410,103.06
411,102.6
412,98.21
413,103.85
414,108.11
415,86.33
416,105.83
417,99.21
418,95.76
419,80.46
420,88.96
421,113.58
422,94.49
423,91.32
424,96.35
425,94.04
426,100.99
427,112.14
428,95.31
429,101.23
430,90.82
431,112.16
432,101.51
433,91.35
434,107.23
435,109.6
436,101.29
437,86.88
438,114.28
439,102.48
440,109.36
441,95.59
442,96.81
443,100.88
444,108.91
445,101.14
446,89.95
447,102.1
448,113.04
449,100.53
450,101.04
451,89.9
452,143.78
453,94.9
454,97.39
455,100.83
456,101.33
457,112.82
458,100.47
459,108.52
460,99.69
461,111.59
462,85.04
463,95.21
464,107.86
465,98.63
466,107.45
467,103.08
468,107.57
469,104.9
470,105.39
471,111.94
472,107.89
473,107.95
474,100.16
475,95.35
476,94.72
477,106.01
478,80.49
479,89.54
480,92.29
481,98.02
482,78.95
483,110.07
484,104.8
485,115.88
486,108.5
487,108.24
488,118.01
489,95.43
490,87.97
491,98.14
492,93.4
493,97.95
494,91.6
495,104.54
496,104.1
497,99.78
498,102.49
499,98.86
